PDV,Produto,Categoria,Status,Preco Final (R$)
"Somma Bar","Água de Coco Kero Coco 330ml","Águas","active","8,99"
"Somma Bar","Água Mineral Indaiá com gás 500ml","Águas","active","5,99"
"Somma Bar","Água Mineral Indaiá sem gás 500ml","Águas","active","5,99"
"Somma Bar","Beats Senses 269ml","Bebida Alcoólica","active","15,99"
"Somma Bar","Coca-Cola Original 310ml","Refrigerantes","active","6,00"
"Somma Bar","Coca-Cola Zero 310ml","Refrigerantes","active","8,99"
"Somma Bar","Corona Cero (sem álcool) Long Neck 330ml","Bebida Alcoólica","active","13,99"
"Somma Bar","Corona Extra Long Neck 330ml","Bebida Alcoólica","active","13,99"
"Somma Bar","Guaraná Antarctica 350ml","Refrigerantes","active","8,99"
"Somma Bar","Heineken Long Neck 330ml","Bebida Alcoólica","active","13,99"
"Somma Bar","Heineken Zero Long Neck 330ml","Bebida Alcoólica","active","13,99"
"Somma Bar","Isotônico Gatorade Laranja 500ml","","active","13,99"
"Somma Bar","Isotônico Gatorade Limão 500ml","","active","13,99"
"Somma Bar","Isotônico Gatorade Morango-Maracujá 500ml","Isotônicos","active","11,99"
"Somma Bar","Isotônico Gatorade Tangerina 500ml","","active","8,00"
"Somma Bar","Isotônico Gatorade Uva 500ml","Isotônicos","active","8,00"
"Somma Bar","Michelob Ultra Long Neck 330ml","Bebida Alcoólica","active","13,99"
"Somma Bar","Red Bull 250ml","Energético","active","16,99"
"Somma Bar","Red Bull Sugar Free 250ml","","active","13,00"
"Somma Bar","Smirnoff Ice 269ml","Bebida Alcoólica","active","11,99"
"Somma Bar","Stella Artois Pure Gold Long Neck 330ml","Bebida Alcoólica","active","13,99"
"Somma Bar","Suco Del Valle Uva 200ml","Sucos","active","5,99"
"Somma Bar","Xeque Mate Draft Rum (Edição Especial) 362ml","Bebida Alcoólica","active","17,99"
"Crepe do Bob","Açúcar com canela","Adicionais","active","2,00"
"Crepe do Bob","Açúcar com nutella","Adicionais","active","2,00"
"Crepe do Bob","Adicional","Adicionais","paused","2,00"
"Crepe do Bob","Azeitona","Adicionais","active","2,00"
"Crepe do Bob","Banana","Adicionais","active","2,00"
"Crepe do Bob","Batata palha","Adicionais","active","2,00"
"Crepe do Bob","Calabresa","Adicionais","active","2,00"
"Crepe do Bob","Carne seca","Adicionais","active","2,00"
"Crepe do Bob","Catupiry","Adicionais","active","2,00"
"Crepe do Bob","Crepe Banana com Canela","Doces","active","25,00"
"Crepe do Bob","Crepe Banana com Nutella","Doces","active","30,00"
"Crepe do Bob","Crepe de Calabresa","Salgados","active","25,00"
"Crepe do Bob","Crepe de Carne Seca","Salgados","active","30,00"
"Crepe do Bob","Crepe de Frango","Salgados","active","30,00"
"Crepe do Bob","Crepe de Morango","Doces","active","35,00"
"Crepe do Bob","Crepe de Presunto","Salgados","active","25,00"
"Crepe do Bob","Frango desfiado","Adicionais","active","2,00"
"Crepe do Bob","Massa tradicional","Adicionais","paused","2,00"
"Crepe do Bob","Milho","Adicionais","active","2,00"
"Crepe do Bob","Morango","Adicionais","active","2,00"
"Crepe do Bob","Orégano","Adicionais","active","2,00"
"Crepe do Bob","Queijo mussarela","Adicionais","active","2,00"
"DOPA HMINA - Smoothies e Shakes Proteicos","Água 500 ml","Bebidas","active","5,00"
"DOPA HMINA - Smoothies e Shakes Proteicos","Água com gás 500 ml","Bebidas","active","6,00"
"DOPA HMINA - Smoothies e Shakes Proteicos","Banoffee","Shakes proteicos","active","33,90"
"DOPA HMINA - Smoothies e Shakes Proteicos","Banoffee · 480 ml","Shakes proteicos","paused","35,90"
"DOPA HMINA - Smoothies e Shakes Proteicos","Creatina","Adicionais","active","5,90"
"DOPA HMINA - Smoothies e Shakes Proteicos","Dopah Bull · 480 ml","Smoothies com Red Bull","paused","44,99"
"DOPA HMINA - Smoothies e Shakes Proteicos","DopahCoffee","Shakes proteicos","active","33,90"
"DOPA HMINA - Smoothies e Shakes Proteicos","DopahCoffee · 480 ml","Shakes proteicos","paused","35,99"
"DOPA HMINA - Smoothies e Shakes Proteicos","Maracumina","Smoothies frutados","active","26,99"
"DOPA HMINA - Smoothies e Shakes Proteicos","Maracumina · 480 ml","Smoothies frutados","paused","29,99"
"DOPA HMINA - Smoothies e Shakes Proteicos","PinkDopah","Smoothies frutados","active","26,99"
"DOPA HMINA - Smoothies e Shakes Proteicos","PinkDopah · 480 ml","Smoothies frutados","paused","29,99"
"DOPA HMINA - Smoothies e Shakes Proteicos","Proteína vegana","Adicionais","active","13,90"
"DOPA HMINA - Smoothies e Shakes Proteicos","Red Bull Melancia 250 ml","Bebidas","active","15,99"
"DOPA HMINA - Smoothies e Shakes Proteicos","Red Bull Pomelo 250 ml","Bebidas","active","15,99"
"DOPA HMINA - Smoothies e Shakes Proteicos","Red Bull Tropical 250 ml","Bebidas","active","15,99"
"DOPA HMINA - Smoothies e Shakes Proteicos","Red Bull Zero 250 ml","Bebidas","active","15,99"
"DOPA HMINA - Smoothies e Shakes Proteicos","Sunset Jungle","Smoothies frutados","active","26,99"
"DOPA HMINA - Smoothies e Shakes Proteicos","Sunset Jungle · 480 ml","Smoothies frutados","paused","29,99"
"DOPA HMINA - Smoothies e Shakes Proteicos","Whey protein 15 g","Adicionais","active","7,90"
"DOPA HMINA - Smoothies e Shakes Proteicos","Whey protein 30 g","Adicionais","active","13,90"
"DOPA HMINA - Smoothies e Shakes Proteicos","Yorango","Smoothies frutados","active","26,99"
"DOPA HMINA - Smoothies e Shakes Proteicos","Yorango · 480 ml","Smoothies frutados","paused","29,99"
"Tio Mari","Coração com Vinagrete","Pão com Carne","paused","40,00"
"Tio Mari","Costela Desfiada","Pão com Carne","active","44,99"
"Tio Mari","Frango com Brócolis","Pão com Carne","active","35,00"
"Tio Mari","Linguiça","Pão com Carne","active","37,99"
"Tio Mari","Pernil","Pão com Carne","active","35,00"
"Tio Mari","Pernil com Abacaxi","Pão com Carne","active","37,00"
"Tio Mari","Queijo Coalho com Brócolis","Pão com Carne","active","39,99"
